"filename", "language", "JSON", "CSS", "JavaScript", "C#", "XML", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\ProfileView\RequestsForm.js", "JavaScript", 0, 0, 352, 0, 0, 0, 0, 0, 4, 24, 380
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\ScrollDialog.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 6, 69
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\index.css", "CSS", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\Forms\AccountCreated.css", "CSS", 0, 60, 0, 0, 0, 0, 0, 0, 5, 4, 69
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\Forms\CreateOrJoinForm.css", "CSS", 0, 145, 0, 0, 0, 0, 0, 0, 0, 11, 156
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\Forms\CreateOrganisationForm.css", "CSS", 0, 104, 0, 0, 0, 0, 0, 0, 5, 8, 117
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\Forms\CreateTeamTasks.css", "CSS", 0, 96, 0, 0, 0, 0, 0, 0, 5, 3, 104
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\Forms\LoginForm.css", "CSS", 0, 139, 0, 0, 0, 0, 0, 0, 7, 6, 152
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\Forms\SignUpForm.css", "CSS", 0, 119, 0, 0, 0, 0, 0, 0, 5, 3, 127
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\LeftMenu.css", "CSS", 0, 23, 0, 0, 0, 0, 0, 0, 1, 6, 30
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\MainScreen.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\ProgressBar.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\ProjectDescription.css", "CSS", 0, 35, 0, 0, 0, 0, 0, 0, 15, 9, 59
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\ProjectMenu.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\TaskList.css", "CSS", 0, 49, 0, 0, 0, 0, 0, 0, 0, 12, 61
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\TeamsMenu.css", "CSS", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\MainPage\UpProjectMenu.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\ProfileView\EditAccountForm.css", "CSS", 0, 52, 0, 0, 0, 0, 0, 0, 15, 16, 83
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\ProfileView\MyAccountForm.css", "CSS", 0, 33, 0, 0, 0, 0, 0, 0, 9, 6, 48
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\ProfileView\ProfileForm.css", "CSS", 0, 49, 0, 0, 0, 0, 0, 0, 9, 11, 69
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\styles\ProfileView\RequestsForm.css", "CSS", 0, 33, 0, 0, 0, 0, 0, 0, 20, 8, 61
"Total", "-", 86689, 990, 7119, 4607, 79, 10, 38, 20, 650, 2132, 102334
